region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile
India_SriLanka,1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,parganas,22.71,88.7108,FALSE,FALSE
India_SriLanka,1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,midnapore,22.33971,87.32501,FALSE,FALSE
India_SriLanka,1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,gujarat,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,saurashtra,21.96667,70.5,FALSE,FALSE
India_SriLanka,1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,kutch,23.58333,70,FALSE,FALSE
India_SriLanka,1956-0016-IND,1956,0016,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1956,9,9,1956,9,9,100,NA,NA,75000,75000,NA,NA,NA,10.6327191682906,bihar,25.75,85.75,FALSE,FALSE
India_SriLanka,1956-0016-IND,1956,0016,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1956,9,9,1956,9,9,100,NA,NA,75000,75000,NA,NA,NA,10.6327191682906,uttar pradesh,26.46523,80.34975,FALSE,FALSE
India_SriLanka,1964-9044-IND,1964,9044,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,Famine,NA,Yes,No,No,NA,NA,Km2,NA,NA,1964,8,NA,1964,NA,NA,NA,NA,166000,NA,166000,NA,NA,NA,12.1321174880359,mysore,12.29791,76.63925,TRUE,FALSE
India_SriLanka,1964-0068-IND,1964,0068,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1964,12,17,1964,12,17,500,NA,NA,NA,NA,NA,NA,NA,12.1321174880359,rameswaram,9.2885,79.31271,TRUE,TRUE
India_SriLanka,1964-9009-IND,1964,9009,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1964,7,NA,1964,NA,NA,NA,NA,500000,NA,500000,NA,NA,NA,12.1321174880359,rajasthan,26.58333,73.83333,FALSE,FALSE
India_SriLanka,1964-9009-IND,1964,9009,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1964,7,NA,1964,NA,NA,NA,NA,500000,NA,500000,NA,NA,NA,12.1321174880359,center,28.54722,77.25083,FALSE,FALSE
India_SriLanka,1966-0085-IND,1966,0085,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,1966,11,3,1966,11,3,18,NA,150000,NA,150000,NA,NA,4200,12.6960281686485,madras,13.08784,80.27847,TRUE,TRUE
India_SriLanka,1967-0063-IND,1967,0063,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1967,10,8,1967,10,8,1000,NA,NA,NA,NA,NA,NA,NA,13.048062107494,orissa,20.5,84.41667,FALSE,FALSE
India_SriLanka,1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,rajasthan,26.58333,73.83333,FALSE,FALSE
