year_no,region,seasonal_rain
1909,Malaysia_Singapore_Thai,25.285654703776043
1909,Vietnam,45.279998779296875
1909,Phil,43.150187174479164
1909,Brazil,13.414026896158854
1909,Tanzania_Kenya,16.71159489949544
1910,Central_America,22.678934733072918
1910,Venezuela_Colombia,14.762608846028646
1910,India_SriLanka,15.617332458496094
1910,Malaysia_Singapore_Thai,32.95470174153646
1910,Vietnam,37.45641072591146
1910,Phil,37.01518758138021
1910,Brazil,26.105748494466145
1910,Tanzania_Kenya,20.030071258544922
1911,Central_America,26.162132263183594
1911,Venezuela_Colombia,15.736087799072266
1911,India_SriLanka,18.32496388753255
1911,Malaysia_Singapore_Thai,39.046427408854164
1911,Vietnam,22.39794921875
1911,Phil,21.689351399739582
1911,Brazil,18.33780034383138
1911,Tanzania_Kenya,20.06365712483724
1912,Central_America,33.0621337890625
1912,Venezuela_Colombia,16.523768107096355
1912,India_SriLanka,17.53244400024414
1912,Malaysia_Singapore_Thai,37.89368693033854
1912,Vietnam,36.62999979654948
1912,Phil,33.88537089029948
1912,Brazil,26.635587056477863
1912,Tanzania_Kenya,16.998551686604817
1913,Central_America,28.698265075683594
1913,Venezuela_Colombia,15.367970784505209
1913,India_SriLanka,19.51148223876953
1913,Malaysia_Singapore_Thai,37.54374694824219
1913,Vietnam,31.818715413411457
1913,Phil,29.676666259765625
1913,Brazil,24.113667805989582
1913,Tanzania_Kenya,22.74500020345052
1914,Central_America,26.280131022135418
1914,Venezuela_Colombia,13.978986104329428
1914,India_SriLanka,17.40477752685547
1914,Malaysia_Singapore_Thai,34.5711924235026
1914,Vietnam,34.56179555257162
1914,Phil,21.164260864257812
1914,Brazil,17.467254638671875
1914,Tanzania_Kenya,14.92145029703776
1915,Central_America,28.45893096923828
1915,Venezuela_Colombia,12.955217997233072
1915,India_SriLanka,13.820851643880209
1915,Malaysia_Singapore_Thai,30.36309560139974
1915,Vietnam,32.27435811360677
1915,Phil,36.04425811767578
1915,Brazil,9.594346364339193
1915,Tanzania_Kenya,18.885289510091145
1916,Central_America,24.962666829427082
1916,Venezuela_Colombia,20.84753672281901
1916,India_SriLanka,14.060408274332682
1916,Malaysia_Singapore_Thai,27.69440460205078
1916,Vietnam,28.542821248372395
1916,Phil,35.75361124674479
1916,Brazil,23.81053415934245
1916,Tanzania_Kenya,19.34264373779297
1917,Central_America,27.599334716796875
1917,Venezuela_Colombia,13.087390899658203
1917,India_SriLanka,13.994926452636719
1917,Malaysia_Singapore_Thai,27.86517842610677
1917,Vietnam,61.38923136393229
1917,Phil,34.51240793863932
1917,Brazil,27.176719665527344
1917,Tanzania_Kenya,20.365941365559895
1918,Central_America,25.305333455403645
1918,Venezuela_Colombia,14.313186645507812
1918,India_SriLanka,17.328221638997395
1918,Malaysia_Singapore_Thai,34.917022705078125
1918,Vietnam,28.669484456380207
1918,Phil,25.962687174479168
1918,Brazil,20.74109395345052
1918,Tanzania_Kenya,13.428513844807943
1919,Central_America,27.16840108235677
1919,Venezuela_Colombia,9.960000356038412
1919,India_SriLanka,18.092703501383465
1919,Malaysia_Singapore_Thai,33.75833384195963
1919,Vietnam,33.88487243652344
1919,Phil,32.388702392578125
1919,Brazil,8.05569330851237
1919,Tanzania_Kenya,15.967681884765625
1920,Central_America,26.771466573079426
1920,Venezuela_Colombia,12.012173970540365
1920,India_SriLanka,17.93951670328776
1920,Malaysia_Singapore_Thai,28.044464111328125
1920,Vietnam,43.65435791015625
1920,Phil,30.126942952473957
1920,Brazil,27.525426228841145
1920,Tanzania_Kenya,18.661014556884766
1921,Central_America,29.948267618815105
1921,Venezuela_Colombia,14.703768412272135
1921,India_SriLanka,15.884592692057291
1921,Malaysia_Singapore_Thai,27.467440287272137
1921,Vietnam,39.29718017578125
1921,Phil,38.968518575032554
1921,Brazil,26.384745279947918
1921,Tanzania_Kenya,15.037354787190756
1922,Central_America,28.482933044433594
1922,Venezuela_Colombia,15.351303100585938
1922,India_SriLanka,19.33874003092448
1922,Malaysia_Singapore_Thai,34.60482279459635
1922,Vietnam,43.39923095703125
1922,Phil,37.92314656575521
1922,Brazil,24.219266255696613
1922,Tanzania_Kenya,18.789456685384113
1923,Central_America,23.75439961751302
1923,Venezuela_Colombia,13.200289408365885
1923,India_SriLanka,14.98455556233724
1923,Malaysia_Singapore_Thai,32.07940419514974
1923,Vietnam,44.74897257486979
1923,Phil,24.264073689778645
1923,Brazil,18.34086736043294
1923,Tanzania_Kenya,18.476160685221355
1924,Central_America,28.69439951578776
1924,Venezuela_Colombia,18.00637690226237
1924,India_SriLanka,11.427223205566406
1924,Malaysia_Singapore_Thai,27.89636993408203
1924,Vietnam,43.37230428059896
1924,Phil,44.54759216308594
1924,Brazil,33.86555735270182
1924,Tanzania_Kenya,15.228731791178385
1925,Central_America,25.314669291178387
1925,Venezuela_Colombia,10.694928487141928
1925,India_SriLanka,19.180889129638672
1925,Malaysia_Singapore_Thai,39.87309773763021
1925,Vietnam,29.72718048095703
1925,Phil,29.7977778116862
1925,Brazil,19.761292775472004
1925,Tanzania_Kenya,10.03887685139974
1926,Central_America,28.232398986816406
1926,Venezuela_Colombia,15.995217641194662
1926,India_SriLanka,11.35003662109375
1926,Malaysia_Singapore_Thai,38.56535847981771
1926,Vietnam,37.47564188639323
1926,Phil,37.4615732828776
1926,Brazil,26.142532348632812
1926,Tanzania_Kenya,19.198984781901043
1927,Central_America,25.781333923339844
1927,Venezuela_Colombia,13.809420267740885
1927,India_SriLanka,11.217445373535156
1927,Malaysia_Singapore_Thai,30.626073201497395
1927,Vietnam,29.73205312093099
1927,Phil,32.4205576578776
1927,Brazil,19.670560201009113
1927,Tanzania_Kenya,18.046124776204426
1928,Central_America,25.164932250976562
1928,Venezuela_Colombia,14.431739807128906
1928,India_SriLanka,16.872296651204426
1928,Malaysia_Singapore_Thai,36.135955810546875
1928,Vietnam,28.176666259765625
1928,Phil,35.34573872884115
1928,Brazil,18.8362553914388
1928,Tanzania_Kenya,17.56543477376302
1929,Central_America,32.83373260498047
1929,Venezuela_Colombia,12.5056521097819
1929,India_SriLanka,15.083259582519531
1929,Malaysia_Singapore_Thai,26.0433349609375
1929,Vietnam,49.49230448404948
1929,Phil,28.485555013020832
1929,Brazil,22.269320170084637
1929,Tanzania_Kenya,13.824710845947266
1930,Central_America,28.172134399414062
1930,Venezuela_Colombia,10.804492950439453
1930,India_SriLanka,20.384925842285156
1930,Malaysia_Singapore_Thai,34.71886952718099
1930,Vietnam,43.7984619140625
1930,Phil,32.951944986979164
1930,Brazil,18.488012949625652
1930,Tanzania_Kenya,21.182788848876953
1931,Central_America,24.132667541503906
1931,Venezuela_Colombia,19.076956431070965
1931,India_SriLanka,20.279666900634766
1931,Malaysia_Singapore_Thai,37.16118876139323
1931,Vietnam,37.30974324544271
1931,Phil,37.26286824544271
1931,Brazil,18.387386322021484
1931,Tanzania_Kenya,22.29155985514323
1932,Central_America,25.8676020304362
1932,Venezuela_Colombia,17.85086949666341
1932,India_SriLanka,18.676443735758465
1932,Malaysia_Singapore_Thai,31.348927815755207
1932,Vietnam,43.2046152750651
1932,Phil,37.82314809163412
1932,Brazil,9.006692886352539
1932,Tanzania_Kenya,21.39935048421224
1933,Central_America,28.56066640218099
1933,Venezuela_Colombia,15.953912099202475
1933,India_SriLanka,15.232185363769531
1933,Malaysia_Singapore_Thai,31.325953165690105
1933,Vietnam,38.32410430908203
1933,Phil,40.618611653645836
1933,Brazil,22.954788208007812
1933,Tanzania_Kenya,11.60525385538737
1934,Central_America,27.78546651204427
1934,Venezuela_Colombia,15.365071614583334
1934,India_SriLanka,13.666184743245443
1934,Malaysia_Singapore_Thai,29.98821512858073
1934,Vietnam,29.32641092936198
1934,Phil,41.66990661621094
1934,Brazil,24.989522298177082
1934,Tanzania_Kenya,17.176956176757812
1935,Central_America,32.46973419189453
1935,Venezuela_Colombia,17.803333282470703
1935,India_SriLanka,16.47585169474284
1935,Malaysia_Singapore_Thai,34.650716145833336
1935,Vietnam,33.645894368489586
1935,Phil,27.81861114501953
1935,Brazil,26.55974578857422
1935,Tanzania_Kenya,16.670252482096355
1936,Central_America,38.46159871419271
1936,Venezuela_Colombia,12.749420166015625
1936,India_SriLanka,15.067222595214844
1936,Malaysia_Singapore_Thai,36.25404612223307
1936,Vietnam,16.81743621826172
1936,Phil,32.11898295084635
1936,Brazil,12.02829360961914
1936,Tanzania_Kenya,20.42003631591797
1937,Central_America,26.82666524251302
1937,Venezuela_Colombia,18.335072835286457
1937,India_SriLanka,15.445073445638021
1937,Malaysia_Singapore_Thai,34.134521484375
1937,Vietnam,39.40820821126302
1937,Phil,32.26685078938802
1937,Brazil,21.0429204305013
1937,Tanzania_Kenya,23.02532450358073
1938,Central_America,28.460665384928387
1938,Venezuela_Colombia,20.112321217854817
1938,India_SriLanka,7.577592213948567
1938,Malaysia_Singapore_Thai,29.933690388997395
1938,Vietnam,34.02717590332031
1938,Phil,39.629536946614586
1938,Brazil,20.774159749348957
1938,Tanzania_Kenya,19.687754313151043
1939,Central_America,31.046132405598957
1939,Venezuela_Colombia,19.13420232137044
1939,India_SriLanka,17.947962443033855
1939,Malaysia_Singapore_Thai,26.864285786946613
1939,Vietnam,34.706408182779946
1939,Phil,34.47842661539713
1939,Brazil,19.28118642171224
1939,Tanzania_Kenya,18.819020589192707
1940,Central_America,27.3864008585612
1940,Venezuela_Colombia,12.061304728190104
1940,India_SriLanka,20.65648142496745
1940,Malaysia_Singapore_Thai,29.755355834960938
1940,Vietnam,24.235382080078125
1940,Phil,24.366666158040363
1940,Brazil,25.753629048665363
1940,Tanzania_Kenya,22.026270548502605
1941,Central_America,25.888132731119793
1941,Venezuela_Colombia,10.260290145874023
1941,India_SriLanka,17.21436945597331
