Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,region,location_word,lat,long
1950-0006-IND,1950,0006,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1950,7,11,1950,7,11,45,NA,25000,NA,25000,NA,NA,NA,9.4319369393968,India_SriLanka,saurashtra,21.96667,70.5
1950-0011-IND,1950,0011,Natural,Meteorological,Storm,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1950,9,12,1950,9,12,90,NA,NA,NA,NA,NA,NA,NA,9.4319369393968,India_SriLanka,west,22.56263,88.36304
1952-0011-IND,1952,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1952,11,26,1952,11,26,400,NA,1000000,NA,1000000,NA,NA,NA,10.4103536343549,India_SriLanka,tanjore,10.78523,79.13909
1952-0011-IND,1952,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1952,11,26,1952,11,26,400,NA,1000000,NA,1000000,NA,NA,NA,10.4103536343549,India_SriLanka,tiruchi,10.8155,78.69651
1955-0015-IND,1955,0015,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,Flood,NA,NA,No,No,NA,NA,Kph,NA,NA,NA,NA,1955,9,28,1955,9,28,1500,NA,NA,375000,375000,NA,NA,NA,10.473000409773,India_SriLanka,punjab,31.62234,74.87534
1955-0019-IND,1955,0019,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1955,11,28,1955,11,28,500,NA,NA,NA,NA,NA,NA,NA,10.473000409773,India_SriLanka,tanjore,10.78523,79.13909
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,anjar,23.11316,70.02671
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,bhuj,23.25397,69.66928
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,g,22.56263,88.36304
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,hidham,NA,NA
